model,roc_auc,accuracy,precision,average_precision,cv_roc_auc_mean,cv_roc_auc_std,fit_seconds,decision_threshold
logistic_regression,0.7559914448719658,0.6906492366226038,0.1644312920624314,0.23739231320384843,0.7465068569407125,0.0011392983037556116,7.47,0.5
random_forest,0.749491561023382,0.6962424597174122,0.1627243668551758,0.2261044704155214,0.7406506944886921,0.0013954775271745015,185.84,0.5
decision_tree,0.7327468835671911,0.686291725606881,0.15537062869786908,0.20453886418968445,0.7231219155722867,0.0020445571445593014,16.67,0.5
